,0,1,2,3,4,5,6,7,8,9
1364,Schindler's List (1993),Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Matrix, The (1999)",Lawrence of Arabia (1962),It's a Wonderful Life (1946),One Flew Over the Cuckoo's Nest (1975),Star Wars: Episode V - The Empire Strikes Back (1980),"Bridge on the River Kwai, The (1957)"
1365,"Sixth Sense, The (1999)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Princess Bride, The (1987)",Toy Story 2 (1999),"Godfather, The (1972)",Frequency (2000),Strangers on a Train (1951)
1366,"Shawshank Redemption, The (1994)","Matrix, The (1999)","Wrong Trousers, The (1993)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Christmas Story, A (1983)","Princess Bride, The (1987)",Frequency (2000),Butch Cassidy and the Sundance Kid (1969),Young Frankenstein (1974)
1367,Casablanca (1942),American Beauty (1999),"Christmas Story, A (1983)",Being John Malkovich (1999),L.A. Confidential (1997),Shall We Dance? (Shall We Dansu?) (1996),It Happened One Night (1934),"Philadelphia Story, The (1940)","Princess Bride, The (1987)",West Side Story (1961)
1368,Schindler's List (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),City Lights (1931),Rear Window (1954),Blade Runner (1982),"Godfather, The (1972)","Third Man, The (1949)",American Beauty (1999),Fargo (1996),Citizen Kane (1941)
1369,American Beauty (1999),"Silence of the Lambs, The (1991)",Fight Club (1999),"Boat, The (Das Boot) (1981)",Monty Python and the Holy Grail (1974),Touch of Evil (1958),L.A. Confidential (1997),This Is Spinal Tap (1984),Boys Don't Cry (1999),"Princess Bride, The (1987)"
1370,Schindler's List (1993),"Shawshank Redemption, The (1994)",Butterfly (La Lengua de las Mariposas) (2000),Saving Private Ryan (1998),Dead Man Walking (1995),Girlfight (2000),Almost Famous (2000),GoodFellas (1990),"Eyes of Tammy Faye, The (2000)",Keeping the Faith (2000)
1371,"Sixth Sense, The (1999)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Gladiator (2000),Toy Story 2 (1999),Frequency (2000),"Patriot, The (2000)",Star Wars: Episode VI - Return of the Jedi (1983),Terminator 2: Judgment Day (1991)
1372,Double Indemnity (1944),My Fair Lady (1964),Star Wars: Episode IV - A New Hope (1977),Shadow of a Doubt (1943),"Wizard of Oz, The (1939)",Blade Runner (1982),North by Northwest (1959),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Sound of Music, The (1965)",Strangers on a Train (1951)
1373,"Godfather, The (1972)",Schindler's List (1993),"Streetcar Named Desire, A (1951)",One Flew Over the Cuckoo's Nest (1975),"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),"Silence of the Lambs, The (1991)",To Kill a Mockingbird (1962),"Boat, The (Das Boot) (1981)"
1374,Cinema Paradiso (1988),"Sixth Sense, The (1999)","Maltese Falcon, The (1941)",Wallace & Gromit: The Best of Aardman Animation (1996),Sense and Sensibility (1995),Like Water for Chocolate (Como agua para chocolate) (1992),Shakespeare in Love (1998),Strictly Ballroom (1992),Tender Mercies (1983),Raiders of the Lost Ark (1981)
1375,Schindler's List (1993),Casablanca (1942),"Shawshank Redemption, The (1994)",Fargo (1996),American Beauty (1999),Being John Malkovich (1999),"Silence of the Lambs, The (1991)",Fight Club (1999),Election (1999),Run Lola Run (Lola rennt) (1998)
1376,Schindler's List (1993),Saving Private Ryan (1998),Raiders of the Lost Ark (1981),Braveheart (1995),"Matrix, The (1999)",Glory (1989),"Princess Bride, The (1987)","Christmas Story, A (1983)",Star Wars: Episode V - The Empire Strikes Back (1980),Forrest Gump (1994)
1377,Casablanca (1942),Double Indemnity (1944),Rear Window (1954),"Third Man, The (1949)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Blade Runner (1982),Fargo (1996),"Maltese Falcon, The (1941)",Strangers on a Train (1951),Roman Holiday (1953)
1378,American Beauty (1999),Being John Malkovich (1999),Doctor Zhivago (1965),Boys Don't Cry (1999),"Sound of Music, The (1965)",Stand by Me (1986),"Bug's Life, A (1998)",Boogie Nights (1997),Repo Man (1984),Rosemary's Baby (1968)
1379,"Sixth Sense, The (1999)",Braveheart (1995),Raiders of the Lost Ark (1981),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),"Princess Bride, The (1987)",Apollo 13 (1995),"Fugitive, The (1993)",Forrest Gump (1994),October Sky (1999)
1380,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Godfather, The (1972)","Close Shave, A (1995)",Raiders of the Lost Ark (1981),"Wrong Trousers, The (1993)",Casablanca (1942),American Beauty (1999),"Grand Day Out, A (1992)","Christmas Story, A (1983)"
1381,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Bicycle Thief, The (Ladri di biciclette) (1948)",Citizen Kane (1941),Casablanca (1942),City Lights (1931),Rear Window (1954),Double Indemnity (1944),"Third Man, The (1949)",Chinatown (1974),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
1382,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",City Lights (1931),Casablanca (1942),Rear Window (1954),Schindler's List (1993),Double Indemnity (1944),Citizen Kane (1941),"Close Shave, A (1995)","Streetcar Named Desire, A (1951)"
1383,American Beauty (1999),North by Northwest (1959),L.A. Confidential (1997),High Fidelity (2000),"Matrix, The (1999)",Almost Famous (2000),Magnolia (1999),Chicken Run (2000),"Sound of Music, The (1965)",Braveheart (1995)
1384,Schindler's List (1993),American Beauty (1999),L.A. Confidential (1997),Monty Python and the Holy Grail (1974),Boogie Nights (1997),Stand by Me (1986),Magnolia (1999),Rosemary's Baby (1968),Braveheart (1995),Airplane! (1980)
1385,Rear Window (1954),Citizen Kane (1941),"Close Shave, A (1995)","Wrong Trousers, The (1993)",Fargo (1996),American Beauty (1999),"Shawshank Redemption, The (1994)",Being John Malkovich (1999),To Kill a Mockingbird (1962),"Grand Day Out, A (1992)"
1386,Citizen Kane (1941),"Godfather, The (1972)",Casablanca (1942),Rear Window (1954),Double Indemnity (1944),"Third Man, The (1949)",Chinatown (1974),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Lawrence of Arabia (1962),"Streetcar Named Desire, A (1951)"
1387,"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)","Matrix, The (1999)","Princess Bride, The (1987)","Fugitive, The (1993)",Primal Fear (1996),"Hunt for Red October, The (1990)",Seven (Se7en) (1995),L.A. Confidential (1997),Erin Brockovich (2000)
1388,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Sixth Sense, The (1999)","Close Shave, A (1995)",Rear Window (1954),Lawrence of Arabia (1962),"Godfather, The (1972)",Star Wars: Episode IV - A New Hope (1977)
1389,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),"Great Escape, The (1963)",Raiders of the Lost Ark (1981),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977)
1390,Braveheart (1995),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),Cinema Paradiso (1988),"Princess Bride, The (1987)",Forrest Gump (1994),Life Is Beautiful (La Vita è bella) (1997),Star Wars: Episode V - The Empire Strikes Back (1980),American Beauty (1999),Toy Story 2 (1999)
1391,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Matrix, The (1999)","Great Escape, The (1963)",Rear Window (1954),Braveheart (1995),Star Wars: Episode IV - A New Hope (1977)
1392,Lawrence of Arabia (1962),Schindler's List (1993),"Godfather, The (1972)","Third Man, The (1949)","Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),"Silence of the Lambs, The (1991)",Fight Club (1999),"Bridge on the River Kwai, The (1957)"
1393,"Silence of the Lambs, The (1991)",American Beauty (1999),Arsenic and Old Lace (1944),Braveheart (1995),Almost Famous (2000),"Sound of Music, The (1965)",Rain Man (1988),Dead Man Walking (1995),Best in Show (2000),Airplane! (1980)
1394,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Shawshank Redemption, The (1994)","Close Shave, A (1995)",Blade Runner (1982),"Wrong Trousers, The (1993)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Grand Day Out, A (1992)",Rosencrantz and Guildenstern Are Dead (1990),Dead Man (1995),"Princess Bride, The (1987)"
1395,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Blade Runner (1982),"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),"Maltese Falcon, The (1941)",Being John Malkovich (1999),"Silence of the Lambs, The (1991)"
1396,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Lawrence of Arabia (1962),Blade Runner (1982),American Beauty (1999),Some Like It Hot (1959),"General, The (1927)",Monty Python and the Holy Grail (1974),"Christmas Story, A (1983)"
1397,"Third Man, The (1949)",Rear Window (1954),Chinatown (1974),"Maltese Falcon, The (1941)",Strangers on a Train (1951),"Conversation, The (1974)","Big Sleep, The (1946)",American Beauty (1999),North by Northwest (1959),"Thin Man, The (1934)"
1398,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),Rear Window (1954),Sanjuro (1962),"Silence of the Lambs, The (1991)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Great Escape, The (1963)",Star Wars: Episode IV - A New Hope (1977)
1399,Schindler's List (1993),Blade Runner (1982),"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),"Silence of the Lambs, The (1991)",Being John Malkovich (1999),L.A. Confidential (1997),"Usual Suspects, The (1995)",Saving Private Ryan (1998)
1400,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Double Indemnity (1944),Citizen Kane (1941),Chinatown (1974),To Kill a Mockingbird (1962),Fargo (1996),American Beauty (1999),Strangers on a Train (1951),"Silence of the Lambs, The (1991)"
1401,Schindler's List (1993),"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Saving Private Ryan (1998),American Beauty (1999),"Wizard of Oz, The (1939)",Fight Club (1999),Fargo (1996),L.A. Confidential (1997),Star Wars: Episode IV - A New Hope (1977)
1402,Star Wars: Episode IV - A New Hope (1977),"Matrix, The (1999)","Wrong Trousers, The (1993)","Princess Bride, The (1987)",Blade Runner (1982),"Grand Day Out, A (1992)",Forrest Gump (1994),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Alien (1979),E.T. the Extra-Terrestrial (1982)
1403,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Double Indemnity (1944),Chinatown (1974),Lawrence of Arabia (1962),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Paths of Glory (1957),Schindler's List (1993),American Beauty (1999),"Maltese Falcon, The (1941)",Blade Runner (1982)
1404,"Bicycle Thief, The (Ladri di biciclette) (1948)","Godfather, The (1972)",Casablanca (1942),"Streetcar Named Desire, A (1951)",Fargo (1996),"Maltese Falcon, The (1941)",Being John Malkovich (1999),Some Like It Hot (1959),"Silence of the Lambs, The (1991)",Cool Hand Luke (1967)
1405,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),American Beauty (1999),Good Will Hunting (1997),Fight Club (1999),GoodFellas (1990),Pulp Fiction (1994),Jerry Maguire (1996)
1406,Schindler's List (1993),"Shawshank Redemption, The (1994)","Close Shave, A (1995)","Wrong Trousers, The (1993)",American Beauty (1999),"Silence of the Lambs, The (1991)","Grand Day Out, A (1992)",Saving Private Ryan (1998),Fargo (1996),"Wizard of Oz, The (1939)"
1407,Saving Private Ryan (1998),"Boat, The (Das Boot) (1981)",North by Northwest (1959),When We Were Kings (1996),"Matrix, The (1999)",Hands on a Hard Body (1996),Hoop Dreams (1994),Alien (1979),Paradise Lost: The Child Murders at Robin Hood Hills (1996),"Shining, The (1980)"
1408,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),City Lights (1931),"Godfather, The (1972)","Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),Being John Malkovich (1999),"Christmas Story, A (1983)",Fight Club (1999),L.A. Confidential (1997)
1409,"Affair to Remember, An (1957)",All the King's Men (1949),"Phantom of the Opera, The (1943)","Bank Dick, The (1940)","African Queen, The (1951)",All Quiet on the Western Front (1930),Amadeus (1984),8 Seconds (1994),"Adventures of Robin Hood, The (1938)",Sabrina (1995)
1410,One Flew Over the Cuckoo's Nest (1975),"Maltese Falcon, The (1941)",American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),Election (1999),Boys Don't Cry (1999),Run Lola Run (Lola rennt) (1998),Rushmore (1998),Magnolia (1999)
1411,"Godfather, The (1972)",Chinatown (1974),One Flew Over the Cuckoo's Nest (1975),"Godfather: Part II, The (1974)","Sixth Sense, The (1999)","Bug's Life, A (1998)","Truman Show, The (1998)",Grosse Pointe Blank (1997),Contact (1997),"Talented Mr. Ripley, The (1999)"
1412,Lawrence of Arabia (1962),Rear Window (1954),Double Indemnity (1944),"Third Man, The (1949)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),One Flew Over the Cuckoo's Nest (1975),Blade Runner (1982),Fargo (1996),American Beauty (1999),"Shawshank Redemption, The (1994)"
1413,Saving Private Ryan (1998),"Matrix, The (1999)",Braveheart (1995),"Fugitive, The (1993)",Forrest Gump (1994),Star Wars: Episode VI - Return of the Jedi (1983),"Rock, The (1996)",Terminator 2: Judgment Day (1991),"Fifth Element, The (1997)",Independence Day (ID4) (1996)
1414,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Close Shave, A (1995)","Sixth Sense, The (1999)","Great Escape, The (1963)",Rear Window (1954),"Godfather, The (1972)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981)
1415,One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),Election (1999),Elizabeth (1998),"Iron Giant, The (1999)",Clerks (1994),Gattaca (1997),Eyes Wide Shut (1999)
1416,"Fugitive, The (1993)",Gladiator (2000),Remember the Titans (2000),Frequency (2000),Erin Brockovich (2000),Star Wars: Episode VI - Return of the Jedi (1983),Almost Famous (2000),X-Men (2000),"Patriot, The (2000)","Contender, The (2000)"
1417,Saving Private Ryan (1998),"Sixth Sense, The (1999)",Braveheart (1995),Raiders of the Lost Ark (1981),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Glory (1989),"Princess Bride, The (1987)","Fugitive, The (1993)",Butch Cassidy and the Sundance Kid (1969)
1418,American Beauty (1999),Braveheart (1995),Shakespeare in Love (1998),Stand by Me (1986),Nikita (La Femme Nikita) (1990),Strictly Ballroom (1992),High Fidelity (2000),Terminator 2: Judgment Day (1991),Airplane! (1980),Frequency (2000)
1419,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Lawrence of Arabia (1962),"Godfather, The (1972)",Casablanca (1942),Schindler's List (1993),Blade Runner (1982),"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996)
1420,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),"Godfather, The (1972)","Streetcar Named Desire, A (1951)",Schindler's List (1993),Citizen Kane (1941),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),"Wrong Trousers, The (1993)",One Flew Over the Cuckoo's Nest (1975),Fargo (1996)
1421,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),Lawrence of Arabia (1962),Rear Window (1954),"Silence of the Lambs, The (1991)","Great Escape, The (1963)",Casablanca (1942),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982)
1422,City Lights (1931),"Close Shave, A (1995)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Being John Malkovich (1999),Some Like It Hot (1959),Creature Comforts (1990),Young Frankenstein (1974),Monty Python and the Holy Grail (1974),Election (1999)
1423,Schindler's List (1993),On the Beach (1959),Jaws (1975),Army of Darkness (1993),Misery (1990),Bananas (1971),Scream (1996),Sleepy Hollow (1999),Up in Smoke (1978),Henry: Portrait of a Serial Killer (1990)
1424,Schindler's List (1993),City Lights (1931),"Streetcar Named Desire, A (1951)",Casablanca (1942),Rear Window (1954),Double Indemnity (1944),Blade Runner (1982),"Bicycle Thief, The (Ladri di biciclette) (1948)","Godfather, The (1972)","Shawshank Redemption, The (1994)"
1425,"Shawshank Redemption, The (1994)",Schindler's List (1993),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Close Shave, A (1995)",Rear Window (1954),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Christmas Story, A (1983)"
